Barcode,Barcode_Prefix,Barcode_Postfix,Barcode_Postfix_Diff
A0000020164,A,0000020164,11180
A0000031344,A,0000031344,7606
A0000038950,A,0000038950,4670
A0000043620,A,0000043620,4670
A0000176008,A,0000176008,39269
A0000215277,A,0000215277,5503
A0000220780,A,0000220780,4169
A0000224949,A,0000224949,4169
A0000234021,A,0000234021,9072
A0000246389,A,0000246389,10470
A0000256859,A,0000256859,2945
A0000259804,A,0000259804,2945
A0000289959,A,0000289959,24
A0000289983,A,0000289983,24
A0000309393,A,0000309393,2360
A0000311753,A,0000311753,2360
A0000321075,A,0000321075,9322
A0000339390,A,0000339390,18315
A0000366385,A,0000366385,15239
A0000381624,A,0000381624,12813
A0000394437,A,0000394437,8282
A0000402719,A,0000402719,4181
A0000406900,A,0000406900,4181
A0000412684,A,0000412684,5784
A0000455121,A,0000455121,4580
A0000459701,A,0000459701,1206
A0000460907,A,0000460907,1206
A0000471383,A,0000471383,8
A0000471391,A,0000471391,8
A0000475368,A,0000475368,3977
A0000482851,A,0000482851,2946
A0000485797,A,0000485797,2946
A0000506766,A,0000506766,17532
A0000524298,A,0000524298,17532
A0000547372,A,0000547372,2030
A0000549402,A,0000549402,281
A0000549683,A,0000549683,281
A0000551531,A,0000551531,1848
A0000553438,A,0000553438,1907
A0000562066,A,0000562066,2509
A0000564575,A,0000564575,66
A0000564641,A,0000564641,66
A0000565986,A,0000565986,1345
A0000568600,A,0000568600,42
A0000568642,A,0000568642,42
A0000568758,A,0000568758,116
A0000574913,A,0000574913,2722
A0000577635,A,0000577635,2722
A0000580639,A,0000580639,247
A0000580886,A,0000580886,16
A0000580902,A,0000580902,16
A0000712935,A,0000712935,23858
A0000736793,A,0000736793,23858
A0000765941,A,0000765941,29148
A0000830968,A,0000830968,13694
A0000844662,A,0000844662,13694
A0000858662,A,0000858662,6386
A0000865048,A,0000865048,4132
A0000869180,A,0000869180,159
A0000869339,A,0000869339,159
A0000870626,A,0000870626,1287
A0000873075,A,0000873075,1858
A0000874933,A,0000874933,1858
A0000885582,A,0000885582,1683
A0000887265,A,0000887265,1683
A0000893644,A,0000893644,609
A0000894253,A,0000894253,609
A0000903088,A,0000903088,8835
A0000917286,A,0000917286,3161
A0000920447,A,0000920447,114
A0000920561,A,0000920561,114
A0000925677,A,0000925677,3341
A0000929018,A,0000929018,3341
A0000933606,A,0000933606,4588
A0000939637,A,0000939637,1196
A0000940833,A,0000940833,1196
A0000962704,A,0000962704,1376
A0000964080,A,0000964080,315
A0000964395,A,0000964395,16
A0000964411,A,0000964411,16
A0000965517,A,0000965517,1106
A0000971143,A,0000971143,1784
A0000972927,A,0000972927,130
A0000973057,A,0000973057,130
A0000974659,A,0000974659,1602
A0000976803,A,0000976803,174
A0000976977,A,0000976977,174
A0000988881,A,0000988881,438
A0000989319,A,0000989319,438
A0000989921,A,0000989921,222
A0000990143,A,0000990143,222
A0000993931,A,0000993931,3788
A0000998419,A,0000998419,1055
A0000999474,A,0000999474,1055
A0001002500,A,0001002500,3026
A0001009034,A,0001009034,1386
A0001010420,A,0001010420,1123
A0001011543,A,0001011543,1123
A0001018159,A,0001018159,6616
A0001036045,A,0001036045,15
A0001036060,A,0001036060,15
A0001045889,A,0001045889,9829
A0001063668,A,0001063668,10576
A0001074244,A,0001074244,1773
A0001076017,A,0001076017,1773
A0001079417,A,0001079417,3400
A0001127406,A,0001127406,18473
A0001145879,A,0001145879,10320
A0001156199,A,0001156199,16
A0001156215,A,0001156215,16
A0001157031,A,0001157031,816
A0001168863,A,0001168863,11832
A0001180736,A,0001180736,11416
A0001192152,A,0001192152,3194
A0001195346,A,0001195346,833
A0001196179,A,0001196179,636
A0001196815,A,0001196815,636
A0001214014,A,0001214014,1601
A0001215615,A,0001215615,1047
A0001216662,A,0001216662,1047
A0001217918,A,0001217918,1136
A0001219054,A,0001219054,1136
A0001221266,A,0001221266,727
A0001221993,A,0001221993,602
A0001222595,A,0001222595,156
A0001222751,A,0001222751,156
A0001227651,A,0001227651,117
A0001227768,A,0001227768,117
A0001258334,A,0001258334,13678
A0001272012,A,0001272012,49
A0001272061,A,0001272061,49
A0001283225,A,0001283225,281
A0001283506,A,0001283506,281
A0001286715,A,0001286715,3209
A0001303650,A,0001303650,602
A0001304252,A,0001304252,602
A0001312735,A,0001312735,419
A0001313154,A,0001313154,419
A0001320704,A,0001320704,133
A0001320837,A,0001320837,133
A0001321884,A,0001321884,1047
A0001323039,A,0001323039,1155
A0001327006,A,0001327006,3895
A0001330901,A,0001330901,297
A0001331198,A,0001331198,297
A0001340470,A,0001340470,3012
A0001343482,A,0001343482,198
A0001343680,A,0001343680,198
A0001353168,A,0001353168,462
A0001353630,A,0001353630,462
A0001366319,A,0001366319,12689
A0001397082,A,0001397082,893
A0001397975,A,0001397975,893
A0001409440,A,0001409440,421
A0001409861,A,0001409861,214
A0001410075,A,0001410075,8
A0001410083,A,0001410083,8
A0001432483,A,0001432483,8
A0001432491,A,0001432491,8
A0001432525,A,0001432525,8
A0001432533,A,0001432533,8
A0001433044,A,0001433044,511
A0001438506,A,0001438506,5462
A0001457787,A,0001457787,353
A0001458140,A,0001458140,353
A0001461201,A,0001461201,174
A0001461375,A,0001461375,174
A0001475169,A,0001475169,8705
A0001483874,A,0001483874,8705
A0001507565,A,0001507565,693
A0001508258,A,0001508258,693
A0001510155,A,0001510155,1897
A0001514819,A,0001514819,4664
A0001530559,A,0001530559,15740
A0001581362,A,0001581362,9382
A0001590744,A,0001590744,8339
A0001599083,A,0001599083,107
A0001599190,A,0001599190,107
A0001604362,A,0001604362,5172
A0001654953,A,0001654953,11525
A0001666478,A,0001666478,9619
A0001676097,A,0001676097,5628
A0001681725,A,0001681725,5628
A0001718287,A,0001718287,24553
A0001742840,A,0001742840,1344
A0001744184,A,0001744184,1344
A0001776632,A,0001776632,41
A0001776673,A,0001776673,41
A0001781921,A,0001781921,3795
A0001785716,A,0001785716,3795
A0001796168,A,0001796168,503
A0001796671,A,0001796671,503
A0001797455,A,0001797455,784
A0001802438,A,0001802438,107
A0001802545,A,0001802545,107
A0001811470,A,0001811470,8925
A0001833433,A,0001833433,7054
A0001840487,A,0001840487,7054
A0001847920,A,0001847920,7433
A0001856913,A,0001856913,602
A0001857515,A,0001857515,602
A0001874692,A,0001874692,559
A0001875251,A,0001875251,559
A0001876564,A,0001876564,610
A0001877174,A,0001877174,610
A0001900596,A,0001900596,865
A0001901461,A,0001901461,865
A0001902337,A,0001902337,876
A0001912385,A,0001912385,2071
A0001914456,A,0001914456,2071
A0001919703,A,0001919703,281
A0001919984,A,0001919984,281
A0001922053,A,0001922053,1074
A0001923127,A,0001923127,1074
A0001926567,A,0001926567,173
A0001926740,A,0001926740,67
A0001926807,A,0001926807,67
A0001935790,A,0001935790,8983
A0001949239,A,0001949239,23
A0001949262,A,0001949262,23
A0001950419,A,0001950419,544
A0001950963,A,0001950963,544
A0001951565,A,0001951565,602
A0001955806,A,0001955806,2590
A0001958396,A,0001958396,2590
A0001965649,A,0001965649,289
A0001965938,A,0001965938,289
A0001968247,A,0001968247,2309
A0001973775,A,0001973775,1123
A0001974898,A,0001974898,361
A0001975259,A,0001975259,58
A0001975317,A,0001975317,58
A0001975465,A,0001975465,84
