Barcode,Owning Campus,Material Type,...4,Campus...5,Items added,...7,Num of Items (In Repository),Campus...9,Barcode_Prefix
A0000020156,UCLA,Book,NA,Shared Print Licensed Journals,1,NA,351001,SRUCL,A
A0000020164,UCLA,Book,NA,UC Davis,3,NA,18031,UCB,A
A0000021477,UCLA,Book,NA,UC Irvine,1582,NA,3175,UCD,A
A0000031344,UCSB Library,Book,NA,UC Los Angeles,47041,NA,498788,UCI,A
A0000038950,UCLA,Book,NA,UC Riverside,6566,NA,4908431,UCLA,A
A0000043620,UCLA,Book,NA,UC San Diego,8536,NA,40,UCM,A
A0000045625,UCLA,Book,NA,UC Merced,0,NA,319647,UCR,A
A0000050088,UCLA,Book,NA,UC Santa Barbara,11545,NA,548103,UCSB,A
A0000076042,UCLA,Book,NA,Total items added,75274,NA,12654,UCSC,A
A0000094227,UCLA,Book,NA,NA,NA,NA,556927,UCSD,A
A0000141218,UCLA,Book,NA,NA,NA,NA,1208,UCSF,A
A0000176008,UCLA,Book,NA,NA,NA,NA,7218005,Grand Total,A
A0000182972,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000185660,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000201285,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000201582,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000208389,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000215277,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000215624,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000220400,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000220780,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000224949,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000234021,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000239996,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000246389,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000247759,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000255414,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000255463,UCLA,Book,NA,NA,NA,NA,NA,NA,A
